CENSUS_YEAR,GEO_CODE (POR),GEO_LEVEL,GEO_NAME,GNR,DATA_QUALITY_FLAG,ALT_GEO_CODE,DIM: Type of collective dwelling (16),Member ID: Type of collective dwelling (16),Notes: Type of collective dwelling (16),Collective dwellings occupied by usual residents,Population in collective dwellings
2016,48,1,Alberta,4.7,20000,48,Total - Type of collective dwelling,1,,3190,88820
2016,48,1,Alberta,4.7,20000,48,Health care and related facilities,2,,1665,51165
2016,48,1,Alberta,4.7,20000,48,Hospitals,3,,70,2485
2016,48,1,Alberta,4.7,20000,48,Nursing homes,4,,150,12600
2016,48,1,Alberta,4.7,20000,48,Residences for senior citizens,5,,265,18675
2016,48,1,Alberta,4.7,20000,48,Facilities that are a mix of both a nursing home and a residence for senior citizens,6,1,115,10430
2016,48,1,Alberta,4.7,20000,48,Residential care facilities such as group homes for persons with disabilities and addictions,7,,1070,6975
2016,48,1,Alberta,4.7,20000,48,Correctional and custodial facilities,8,,25,3800
2016,48,1,Alberta,4.7,20000,48,Shelters,9,,95,4235
2016,48,1,Alberta,4.7,20000,48,Service collective dwellings,10,,960,8740
2016,48,1,Alberta,4.7,20000,48,Lodging and rooming houses,11,,90,1385
2016,48,1,Alberta,4.7,20000,48,"Hotels, motels and other establishments with temporary accommodation services",12,,615,3000
2016,48,1,Alberta,4.7,20000,48,Other service collective dwellings,13,2,245,4355
2016,48,1,Alberta,4.7,20000,48,Religious establishments,14,,55,430
2016,48,1,Alberta,4.7,20000,48,Hutterite colonies,15,,175,16935
2016,48,1,Alberta,4.7,20000,48,Other collective dwellings,16,3,215,3515
2016,59,1,British Columbia,4.9,20000,59,Total - Type of collective dwelling,1,,4110,87575
2016,59,1,British Columbia,4.9,20000,59,Health care and related facilities,2,,1875,60350
2016,59,1,British Columbia,4.9,20000,59,Hospitals,3,,65,2390
2016,59,1,British Columbia,4.9,20000,59,Nursing homes,4,,230,18695
2016,59,1,British Columbia,4.9,20000,59,Residences for senior citizens,5,,300,18430
2016,59,1,British Columbia,4.9,20000,59,Facilities that are a mix of both a nursing home and a residence for senior citizens,6,1,105,10390
2016,59,1,British Columbia,4.9,20000,59,Residential care facilities such as group homes for persons with disabilities and addictions,7,,1175,10440
2016,59,1,British Columbia,4.9,20000,59,Correctional and custodial facilities,8,,30,3695
2016,59,1,British Columbia,4.9,20000,59,Shelters,9,,185,4025
2016,59,1,British Columbia,4.9,20000,59,Service collective dwellings,10,,1790,15875
2016,59,1,British Columbia,4.9,20000,59,Lodging and rooming houses,11,,140,3300
2016,59,1,British Columbia,4.9,20000,59,"Hotels, motels and other establishments with temporary accommodation services",12,,1175,5065
2016,59,1,British Columbia,4.9,20000,59,Other service collective dwellings,13,2,475,7510
2016,59,1,British Columbia,4.9,20000,59,Religious establishments,14,,80,510
2016,59,1,British Columbia,4.9,20000,59,Hutterite colonies,15,,5,510
2016,59,1,British Columbia,4.9,20000,59,Other collective dwellings,16,3,145,2610
2016,60,1,Yukon,6.7,100,60,Total - Type of collective dwelling,1,,105,700
2016,60,1,Yukon,6.7,100,60,Health care and related facilities,2,,20,240
2016,60,1,Yukon,6.7,100,60,Hospitals,3,,0,0
2016,60,1,Yukon,6.7,100,60,Nursing homes,4,,5,100
2016,60,1,Yukon,6.7,100,60,Residences for senior citizens,5,,5,40
2016,60,1,Yukon,6.7,100,60,Facilities that are a mix of both a nursing home and a residence for senior citizens,6,1,5,35
2016,60,1,Yukon,6.7,100,60,Residential care facilities such as group homes for persons with disabilities and addictions,7,,10,65
2016,60,1,Yukon,6.7,100,60,Correctional and custodial facilities,8,,0,40
2016,60,1,Yukon,6.7,100,60,Shelters,9,,5,75
2016,60,1,Yukon,6.7,100,60,Service collective dwellings,10,,55,260
2016,60,1,Yukon,6.7,100,60,Lodging and rooming houses,11,,0,5
2016,60,1,Yukon,6.7,100,60,"Hotels, motels and other establishments with temporary accommodation services",12,,45,180
2016,60,1,Yukon,6.7,100,60,Other service collective dwellings,13,2,10,65
2016,60,1,Yukon,6.7,100,60,Religious establishments,14,,0,0
2016,60,1,Yukon,6.7,100,60,Hutterite colonies,15,,0,0
2016,60,1,Yukon,6.7,100,60,Other collective dwellings,16,3,25,90
2016,61,1,Northwest Territories,7.5,100,61,Total - Type of collective dwelling,1,,65,565
2016,61,1,Northwest Territories,7.5,100,61,Health care and related facilities,2,,20,220
2016,61,1,Northwest Territories,7.5,100,61,Hospitals,3,,5,45
2016,61,1,Northwest Territories,7.5,100,61,Nursing homes,4,,5,60
2016,61,1,Northwest Territories,7.5,100,61,Residences for senior citizens,5,,0,5
2016,61,1,Northwest Territories,7.5,100,61,Facilities that are a mix of both a nursing home and a residence for senior citizens,6,1,5,70
2016,61,1,Northwest Territories,7.5,100,61,Residential care facilities such as group homes for persons with disabilities and addictions,7,,10,45
2016,61,1,Northwest Territories,7.5,100,61,Correctional and custodial facilities,8,,5,40
2016,61,1,Northwest Territories,7.5,100,61,Shelters,9,,10,150
2016,61,1,Northwest Territories,7.5,100,61,Service collective dwellings,10,,25,120
2016,61,1,Northwest Territories,7.5,100,61,Lodging and rooming houses,11,,0,15
2016,61,1,Northwest Territories,7.5,100,61,"Hotels, motels and other establishments with temporary accommodation services",12,,20,85
2016,61,1,Northwest Territories,7.5,100,61,Other service collective dwellings,13,2,0,30
2016,61,1,Northwest Territories,7.5,100,61,Religious establishments,14,,0,5
2016,61,1,Northwest Territories,7.5,100,61,Hutterite colonies,15,,0,0
2016,61,1,Northwest Territories,7.5,100,61,Other collective dwellings,16,3,5,20
2016,62,1,Nunavut,7.9,100,62,Total - Type of collective dwelling,1,,50,340
2016,62,1,Nunavut,7.9,100,62,Health care and related facilities,2,,20,90
2016,62,1,Nunavut,7.9,100,62,Hospitals,3,,5,20
2016,62,1,Nunavut,7.9,100,62,Nursing homes,4,,5,30
2016,62,1,Nunavut,7.9,100,62,Residences for senior citizens,5,,0,5
2016,62,1,Nunavut,7.9,100,62,Facilities that are a mix of both a nursing home and a residence for senior citizens,6,1,0,0
2016,62,1,Nunavut,7.9,100,62,Residential care facilities such as group homes for persons with disabilities and addictions,7,,10,40
2016,62,1,Nunavut,7.9,100,62,Correctional and custodial facilities,8,,5,115
2016,62,1,Nunavut,7.9,100,62,Shelters,9,,5,55
2016,62,1,Nunavut,7.9,100,62,Service collective dwellings,10,,20,70
2016,62,1,Nunavut,7.9,100,62,Lodging and rooming houses,11,,5,15
2016,62,1,Nunavut,7.9,100,62,"Hotels, motels and other establishments with temporary accommodation services",12,,20,45
2016,62,1,Nunavut,7.9,100,62,Other service collective dwellings,13,2,5,10
2016,62,1,Nunavut,7.9,100,62,Religious establishments,14,,0,0
2016,62,1,Nunavut,7.9,100,62,Hutterite colonies,15,,0,0
2016,62,1,Nunavut,7.9,100,62,Other collective dwellings,16,3,5,5
